time,ch1,ch2,ch3,ch4
1764847723.3031328,-214.86473225429654,-145.76447072299197,-153.40882623242214,-148.59183508949354
1764847723.308133,37.33542125765234,-424.30847952282056,-426.35046489862725,-433.8452244098298
1764847723.3131328,-12.188333955593407,3.588434007484466,2.0363755258731544,0.9069257392548025
1764847723.3181329,-206.8725660489872,-151.9970139991492,-160.68854149617255,-154.76453996635973
1764847723.3231328,-176.13058841321617,-592.3739736815915,-604.3042545402423,-599.3788062985986
1764847723.3281329,38.457391244359314,-431.19737524120137,-437.6262632650323,-436.57909127743915
1764847723.3331327,8.627949197776616,5.682777982670814,1.6773451301269233,5.9744901792146266
1764847723.3381329,-201.91719860769808,-134.00809521228075,-146.0692725693807,-139.62916484568268
1764847723.3431327,-179.98642526753247,-585.5336966626346,-595.6015073433518,-596.7945354292169
1764847723.3481328,23.890480916947126,-447.2752051507123,-452.7242393861525,-452.88505508424714
1764847723.3531327,-22.98542512767017,-22.549726782832295,-27.63599072257057,-20.32074640924111
1764847723.3581328,-217.14981112722307,-136.6185453813523,-149.13973043300211,-143.3690648013726
1764847723.3631327,-176.36246221046895,-597.9464246155694,-608.1713110944256,-604.5623076371849
1764847723.3681328,25.958645592443645,-459.91606700094417,-462.3395221722312,-465.25290423771366
1764847723.3731327,-10.711073473095894,-0.8283878401853144,-4.037222002167255,0.925625239033252
1764847723.3781328,-216.9141974300146,-147.16880315635353,-158.67647532001138,-149.64087702706456
1764847723.3831327,-187.3876872798428,-594.4832772566006,-607.4345508031547,-605.9385908208787
1764847723.3881328,25.72303189523518,-415.8376061231829,-420.4451628685929,-419.15863728383556
1764847723.3931327,-11.27579836640507,22.75542128039524,17.04833394801244,24.150403963867575
1764847723.3981328,-210.94531710073352,-176.29888391122222,-188.386240568012,-179.36186197493225
1764847723.4031327,-177.17776040080935,-618.2989601744339,-629.1858089454472,-623.9387293076143
1764847723.4081328,36.445325068198144,-445.4052551728673,-450.02403161814436,-443.8681562910788
