time,ch1,ch2,ch3,ch4
1764848206.6930704,-239.5387222119607,-0.12341669853776693,-6.683201220817864,-4.42056174762547
1764848206.6980705,-118.5361290955916,-3.3172912606969476,-7.595736810006201,-4.484140046872199
1764848206.7030704,0.5740746431984007,-0.14959599822759628,3.21631396189332,1.1818083859980106
1764848206.7080705,-240.49052675068378,-0.5759445931762457,-9.581623686477542,-8.388595600612462
1764848206.7130704,-373.06811022991315,-4.383162748068571,-9.540484786964953,-1.0284724878147244
1764848206.7180705,-120.43599827308208,-1.3538437839597464,-0.0523585993796587,-0.22065409738570452
1764848206.7230704,6.25498267589137,-3.062978063710034,-3.590303957462311,2.2364601735025644
1764848206.7280705,-236.6309499964118,-3.4481877591460943,-11.560030763037503,0.14959599822759628
1764848206.7330704,-375.51400480093434,-4.794551743194461,-9.020638693124056,-2.3561369720846415
1764848206.7380705,-118.13969970028847,-0.08601769898086786,-3.9343747533857822,0.6956213917583227
1764848206.7430704,5.645378983113915,1.7353135794401169,-5.037645240314305,0.6208233926445246
1764848206.7480705,-240.05669835582376,-0.8414774900302291,-9.024378593079746,-3.781038855202496
1764848206.7530704,-378.87617486109957,0.007479799911379814,-11.208480167202652,-6.283031925559044
1764848206.7580705,-121.75244305748492,-2.221500573679805,-0.5086263939738274,2.703947667963803
1764848206.7630703,6.146525577176362,-0.2056944975629449,-5.703347432427108,0.4674874944612384
1764848206.7680705,-244.5969369020313,-3.8034782549366355,-4.499099646694958,-1.4361215829849243
1764848206.7730703,-382.1972060217522,1.3837629836052656,-11.70214696135372,-3.9605540530756116
1764848206.7780704,-120.77632916904986,-1.7914120787754655,-12.06491725705564,-4.6486956449225545
1764848206.7830703,4.575767595786601,-0.014959599822759628,-5.037645240314305,0.34033089596778154
1764848206.7880704,-241.23476684186608,1.4810003824532032,-5.015205840580165,-5.269519037567079
1764848206.7930703,-384.3887873957865,-1.649295880459249,-7.558337810449302,-5.422854935750365
1764848206.7980704,-121.36723336204886,0.06731819920241833,-3.014359364286065,2.41597537137568
1764848206.8030703,6.954343967605382,-1.4548210827633739,-7.999646005220711,-1.249126585200429
1764848206.8080704,-240.13897615484893,1.7951519787311554,-4.716013844124973,1.7614928791299462
1764848206.8130703,-383.9138201014139,-6.799138119444251,-10.348303177393973,-0.7292804913595319
1764848206.8180704,-122.32090785074979,0.3590303957462311,-3.896975753828883,1.7091342797502875
1764848206.8230705,8.62981914775446,4.959107341244817,-3.3172912606969476,-1.9858868764713407
1764848206.8280704,-240.3708499521017,-1.813851478509605,-10.4492804761976,-0.23187379725277424
1764848206.8330705,-381.35946843167767,-3.264932661317289,-11.058884168975055,-6.04741822835058
1764848206.8380704,-118.26685629878193,1.0920507870614529,-3.788518655113876,1.5183993820101023
1764848206.8430705,1.7970219287090003,0.6170834926888347,-8.930881094187498,0.762939590960741
1764848206.8480704,-235.01157331559807,-0.34033089596778154,-5.097483639605343,-7.042231616564095
1764848206.8530705,-384.36634799605235,0.09349749889224768,-8.167941503226757,-6.537345122545958
1764848206.8580704,-123.87670623231679,-0.5722046932205558,-6.615883021615446,2.128003074787557
1764848206.8630705,5.1292727892287076,-2.935821465216577,-3.2387533616274595,1.3463639840483665
1764848206.8680704,-238.1156902788207,-5.022685640491545,-11.25709886662662,-0.8003385905176401
1764848206.8730705,-379.0220309593715,0.13089649844914675,-10.127649080008268,-3.7997383549809456
1764848206.8780704,-126.82748729735613,-2.3523970721289515,-1.2603462850674987,-1.0284724878147244
1764848206.8830705,4.796421693172306,0.22065409738570452,-6.552304722368717,-0.35529049579054117
1764848206.8880703,-236.5598918972537,-1.406202383339405,-8.205340502783656,-2.41597537137568
1764848206.8930705,-380.51425104169175,-4.944147741422057,-7.363863012753427,-5.295698337256908
1764848206.8980703,-135.5788531936705,2.01954597607255,-3.332250860519707,-0.9873335883021355
1764848206.9030704,2.825494416523725,3.3546902602538466,-9.764878784306347,5.093743739649653
1764848206.9080703,-230.30303927138448,-2.0719045754522085,-10.580176974646747,-2.0719045754522085
1764848206.9130704,-374.87822180846706,2.01206617616117,-11.122462468221784,-2.898422465659678
1764848206.9180703,-134.75607520341873,1.7988918786868453,-5.2134205382317305,-1.2603462850674987
1764848206.9230704,-0.2374836471863091,-2.7226471677422523,-9.966833381913602,-0.5385455936193466
1764848206.9280703,-223.7694340487942,-0.044878799468278885,-5.789365131407976,-4.02787225227803
1764848206.9330704,-374.69122681068256,-0.5011465940624475,-7.580777210183442,-2.771265867166221
1764848206.9380703,-137.48246227111667,-1.4772604824975133,-1.851250478066504,2.614190069027245
1764848206.9430704,0.42821854492649436,1.0359522877261043,-7.008572516962886,2.939561365172267
1764848206.9480705,-222.04160026926547,1.6343362806364894,-5.381716036237776,1.6679953802376986
1764848206.9530704,-372.58566313562915,0.1047171987593174,-9.985532881692052,-1.9447479769587517
1764848206.9580705,-144.61819138657302,-0.044878799468278885,-9.518045387230814,-1.0808310871943831
1764848206.9630704,-3.259322811383754,-2.337437472306192,-5.867903030477464,0.8302577901631594
1764848206.9680705,-215.26864144951105,-2.5094728702679276,-5.740746431984007,-2.165402074344456
1764848206.9730704,-372.3500494384207,-3.9605540530756116,-9.892035382799804,-6.006279328837991
